session_id,label,stroke_idx,frame_idx,timestamp,fk_x,fk_y,fk_z,q_w,q_x,q_y,q_z
1774190838,C,1774190809,0,1774190838.5684304,-0.0136428363621234,0.502515435218811,0.0785036161541938,1.0,0.0,0.0,0.0
1774190838,C,1774190809,1,1774190838.5684686,-0.013598914258182,0.5024688243865967,0.078761450946331,1.0,0.0,0.0,0.0
1774190838,C,1774190809,2,1774190838.568486,-0.0135871730744838,0.5024460554122925,0.0788848847150802,1.0,0.0,0.0,0.0
1774190838,C,1774190809,3,1774190838.5685008,-0.0135817313566803,0.5024012327194214,0.0791252180933952,1.0,0.0,0.0,0.0
1774190838,C,1774190809,4,1774190838.5685158,-0.0135861756280064,0.5023554563522339,0.0793701037764549,1.0,0.0,0.0,0.0
1774190838,C,1774190809,5,1774190838.5685313,-0.0135884676128625,0.5023319125175476,0.0794958472251892,1.0,0.0,0.0,0.0
1774190838,C,1774190809,6,1774190838.5685458,-0.0136006940156221,0.5022851824760437,0.0797428712248802,1.0,0.0,0.0,0.0
1774190838,C,1774190809,7,1774190838.5685596,-0.0136130191385746,0.5022628307342529,0.0798587724566459,1.0,0.0,0.0,0.0
1774190838,C,1774190809,8,1774190838.5685744,-0.0136462012305855,0.5022173523902893,0.0800920203328132,1.0,0.0,0.0,0.0
1774190838,C,1774190809,9,1774190838.5685909,-0.0136934882029891,0.5021687746047974,0.0803382024168968,1.0,0.0,0.0,0.0
1774190838,C,1774190809,10,1774190838.568606,-0.0137725127860903,0.5021179914474487,0.0805897787213325,1.0,0.0,0.0,0.0
1774190838,C,1774190809,11,1774190838.5686233,-0.0138866696506738,0.5020713806152344,0.0808129087090492,1.0,0.0,0.0,0.0
1774190838,C,1774190809,12,1774190838.5686448,-0.0139682311564683,0.5020496845245361,0.0809093937277793,1.0,0.0,0.0,0.0
1774190838,C,1774190809,13,1774190838.5686648,-0.0142175545915961,0.502007782459259,0.081076294183731,1.0,0.0,0.0,0.0
1774190838,C,1774190809,14,1774190838.5686803,-0.0146479019895195,0.5019705891609192,0.0811818987131118,1.0,0.0,0.0,0.0
1774190838,C,1774190809,15,1774190838.5687065,-0.0149338543415069,0.5019531846046448,0.0812150165438652,1.0,0.0,0.0,0.0
1774190838,C,1774190809,16,1774190838.56875,-0.0156311895698308,0.5019214749336243,0.0812446326017379,1.0,0.0,0.0,0.0
1774190838,C,1774190809,17,1774190838.5688057,-0.0160292126238346,0.5019078254699707,0.0812377706170082,1.0,0.0,0.0,0.0
1774190838,C,1774190809,18,1774190838.5688438,-0.0168939176946878,0.5018855929374695,0.0811743065714836,1.0,0.0,0.0,0.0
1774190838,C,1774190809,19,1774190838.5688586,-0.0178402382880449,0.5018765926361084,0.0810174420475959,1.0,0.0,0.0,0.0
1774190838,C,1774190809,20,1774190838.5688715,-0.0188478007912635,0.5018923878669739,0.0807093903422355,1.0,0.0,0.0,0.0
1774190838,C,1774190809,21,1774190838.5688884,-0.0193717461079359,0.5019112229347229,0.0804874747991561,1.0,0.0,0.0,0.0
1774190838,C,1774190809,22,1774190838.5689027,-0.0204362776130437,0.5019624829292297,0.0799546316266059,1.0,0.0,0.0,0.0
1774190838,C,1774190809,23,1774190838.5689163,-0.0215641446411609,0.5020174384117126,0.0793741419911384,1.0,0.0,0.0,0.0
1774190838,C,1774190809,24,1774190838.5689309,-0.0221099015325307,0.5020419359207153,0.0791033282876014,1.0,0.0,0.0,0.0
1774190838,C,1774190809,25,1774190838.5689473,-0.0231377575546503,0.5020924210548401,0.0785563141107559,1.0,0.0,0.0,0.0
1774190838,C,1774190809,26,1774190838.5689652,-0.0236171651631593,0.502129316329956,0.0782189145684242,1.0,0.0,0.0,0.0
1774190838,C,1774190809,27,1774190838.568978,-0.0250080283731222,0.5023183822631836,0.076743833720684,1.0,0.0,0.0,0.0
1774190838,C,1774190809,28,1774190838.5689912,-0.0254329405725002,0.5024199485778809,0.0760408341884613,1.0,0.0,0.0,0.0
1774190838,C,1774190809,29,1774190838.5690048,-0.0261508636176586,0.5026562809944153,0.074465811252594,1.0,0.0,0.0,0.0
1774190838,C,1774190809,30,1774190838.5690172,-0.0266757532954216,0.5029212832450867,0.0727487951517105,1.0,0.0,0.0,0.0
1774190838,C,1774190809,31,1774190838.569029,-0.0268616285175085,0.5030636787414551,0.0718420445919036,1.0,0.0,0.0,0.0
1774190838,C,1774190809,32,1774190838.569041,-0.0270083863288164,0.5032095313072205,0.0709150284528732,1.0,0.0,0.0,0.0
1774190838,C,1774190809,33,1774190838.569055,-0.0271849799901247,0.5034928321838379,0.069121778011322,1.0,0.0,0.0,0.0
1774190838,C,1774190809,34,1774190838.5690813,-0.0271327961236238,0.5037574768066406,0.0675026699900627,1.0,0.0,0.0,0.0
1774190838,C,1774190809,35,1774190838.5690958,-0.0268512442708015,0.5039971470832825,0.066096730530262,1.0,0.0,0.0,0.0
1774190838,C,1774190809,36,1774190838.5691082,-0.0263384319841861,0.5042276382446289,0.0648126751184463,1.0,0.0,0.0,0.0
1774190838,C,1774190809,37,1774190838.569119,-0.0259932111948728,0.504344642162323,0.0641801133751869,1.0,0.0,0.0,0.0
1774190838,C,1774190809,38,1774190838.5691297,-0.025167528539896,0.5045867562294006,0.0628922060132026,1.0,0.0,0.0,0.0
1774190838,C,1774190809,39,1774190838.5691423,-0.0223867837339639,0.5051674842834473,0.0599636919796466,1.0,0.0,0.0,0.0
1774190838,C,1774190809,40,1774190838.5691571,-0.0210806224495172,0.505320131778717,0.0593568012118339,1.0,0.0,0.0,0.0
1774190838,C,1774190809,41,1774190838.569175,-0.0182302631437778,0.5055487751960754,0.0586786940693855,1.0,0.0,0.0,0.0
1774190838,C,1774190809,42,1774190838.5691938,-0.0174885652959346,0.5055863261222839,0.058639507740736,1.0,0.0,0.0,0.0
1774190838,C,1774190809,43,1774190838.5692148,-0.0160907264798879,0.5056434273719788,0.0586374141275882,1.0,0.0,0.0,0.0
1774190838,C,1774190809,44,1774190838.5692334,-0.0149213140830397,0.5056654214859009,0.0587957240641117,1.0,0.0,0.0,0.0
1774190838,C,1774190809,45,1774190838.5692563,-0.0139356572180986,0.5056668519973755,0.0590286962687969,1.0,0.0,0.0,0.0
1774190838,C,1774190809,46,1774190838.5692828,-0.0131284976378083,0.5056551694869995,0.0592921525239944,1.0,0.0,0.0,0.0
1774190838,C,1774190809,47,1774190838.5693111,-0.0125270411372184,0.5056302547454834,0.0596039555966854,1.0,0.0,0.0,0.0
1774190838,C,1774190809,48,1774190838.56933,-0.0122895212844014,0.5056184530258179,0.0597397685050964,1.0,0.0,0.0,0.0
1774190838,C,1774190809,49,1774190838.5693486,-0.0119527345523238,0.5055992603302002,0.0599424578249454,1.0,0.0,0.0,0.0
1774190838,C,1774190809,50,1774190838.56937,-0.011790445074439,0.5055831670761108,0.0600860305130481,1.0,0.0,0.0,0.0
1774190838,C,1774190809,51,1774190838.569413,-0.0117665398865938,0.5055750012397766,0.0601526573300361,1.0,0.0,0.0,0.0
1774190838,C,1774190809,52,1774190838.5694582,-0.011874021962285,0.5055811405181885,0.060089498758316,1.0,0.0,0.0,0.0
1774190838,C,1774190809,53,1774190838.569476,-0.0120597863569855,0.5055928826332092,0.0599767714738845,1.0,0.0,0.0,0.0
1774190838,C,1774190809,54,1774190838.5694892,-0.0121753448620438,0.5055959820747375,0.0599381402134895,1.0,0.0,0.0,0.0
1774190838,C,1774190809,55,1774190838.5695012,-0.0124502480030059,0.5055918097496033,0.0599161013960838,1.0,0.0,0.0,0.0
1774190842,C,1774190810,0,1774190842.0829906,-0.0105230119079351,0.5015734434127808,0.083901397883892,1.0,0.0,0.0,0.0
1774190842,C,1774190810,1,1774190842.083039,-0.0105080492794513,0.5015263557434082,0.0841399803757667,1.0,0.0,0.0,0.0
1774190842,C,1774190810,2,1774190842.0830684,-0.0104950722306966,0.5014845728874207,0.0843510031700134,1.0,0.0,0.0,0.0
1774190842,C,1774190810,3,1774190842.0831103,-0.010494471527636,0.501465916633606,0.0844444334506988,1.0,0.0,0.0,0.0
1774190842,C,1774190810,4,1774190842.083143,-0.010498009622097,0.5014315247535706,0.0846157073974609,1.0,0.0,0.0,0.0
1774190842,C,1774190810,5,1774190842.0831716,-0.010500619187951,0.5014157891273499,0.0846930965781211,1.0,0.0,0.0,0.0
1774190842,C,1774190810,6,1774190842.0831964,-0.0105155343189835,0.5013816952705383,0.0848603472113609,1.0,0.0,0.0,0.0
1774190842,C,1774190810,7,1774190842.08322,-0.0105391182005405,0.5013405680656433,0.0850614011287689,1.0,0.0,0.0,0.0
1774190842,C,1774190810,8,1774190842.0832467,-0.0105671966448426,0.5012944340705872,0.08528533577919,1.0,0.0,0.0,0.0
1774190842,C,1774190810,9,1774190842.0832746,-0.010602256283164,0.5012500286102295,0.0855000019073486,1.0,0.0,0.0,0.0
1774190842,C,1774190810,10,1774190842.0833037,-0.0106597663834691,0.5012137293815613,0.0856708511710167,1.0,0.0,0.0,0.0
1774190842,C,1774190810,11,1774190842.0833328,-0.0108021106570959,0.5011737942695618,0.0858419239521026,1.0,0.0,0.0,0.0
1774190842,C,1774190810,12,1774190842.0833652,-0.0109260249882936,0.5011464953422546,0.0859534591436386,1.0,0.0,0.0,0.0
1774190842,C,1774190810,13,1774190842.083396,-0.011288302950561,0.5010714530944824,0.0862597599625587,1.0,0.0,0.0,0.0
1774190842,C,1774190810,14,1774190842.0834298,-0.0118227833881974,0.5009704828262329,0.0866721346974372,1.0,0.0,0.0,0.0
1774190842,C,1774190810,15,1774190842.0834591,-0.0125019252300262,0.5008594989776611,0.087117925286293,1.0,0.0,0.0,0.0
1774190842,C,1774190810,16,1774190842.0834892,-0.01287826243788,0.5008123517036438,0.087292768061161,1.0,0.0,0.0,0.0
1774190842,C,1774190810,17,1774190842.0835192,-0.013685842975974,0.5007349848747253,0.0875403806567192,1.0,0.0,0.0,0.0
1774190842,C,1774190810,18,1774190842.083552,-0.0145511887967586,0.5006891489028931,0.0876216664910316,1.0,0.0,0.0,0.0
1774190842,C,1774190810,19,1774190842.083584,-0.0154812773689627,0.5006958842277527,0.0874351784586906,1.0,0.0,0.0,0.0
1774190842,C,1774190810,20,1774190842.083616,-0.0165002755820751,0.5007623434066772,0.0869271531701088,1.0,0.0,0.0,0.0
1774190842,C,1774190810,21,1774190842.0836475,-0.0170269887894392,0.5008190870285034,0.0865471363067627,1.0,0.0,0.0,0.0
1774190842,C,1774190810,22,1774190842.0836806,-0.0180624090135097,0.5009732842445374,0.0855754986405372,1.0,0.0,0.0,0.0
1774190842,C,1774190810,23,1774190842.083714,-0.0190441291779279,0.5011733770370483,0.0843632221221923,1.0,0.0,0.0,0.0
1774190842,C,1774190810,24,1774190842.0837495,-0.0199794638901948,0.5014030933380127,0.0829791650176048,1.0,0.0,0.0,0.0
1774190842,C,1774190810,25,1774190842.0837824,-0.0204425137490034,0.5015255808830261,0.0822362303733825,1.0,0.0,0.0,0.0
1774190842,C,1774190810,26,1774190842.083813,-0.0213410854339599,0.5017765760421753,0.0807005241513252,1.0,0.0,0.0,0.0
1774190842,C,1774190810,27,1774190842.083846,-0.0217484384775161,0.501914918422699,0.0798602029681205,1.0,0.0,0.0,0.0
1774190842,C,1774190810,28,1774190842.083877,-0.022450903430581,0.5021957159042358,0.0781572610139846,1.0,0.0,0.0,0.0
1774190842,C,1774190810,29,1774190842.0839064,-0.0229946244508028,0.5024685263633728,0.0764996632933616,1.0,0.0,0.0,0.0
1774190842,C,1774190810,30,1774190842.0839498,-0.023345174267888,0.5027186870574951,0.0749923214316368,1.0,0.0,0.0,0.0
1774190842,C,1774190810,31,1774190842.0839796,-0.0234544742852449,0.5029528141021729,0.0736366882920265,1.0,0.0,0.0,0.0
1774190842,C,1774190810,32,1774190842.0840125,-0.0234223920851945,0.5030692219734192,0.0729801207780838,1.0,0.0,0.0,0.0
1774190842,C,1774190810,33,1774190842.0840428,-0.0231929942965507,0.5033106207847595,0.0716496035456657,1.0,0.0,0.0,0.0
1774190842,C,1774190810,34,1774190842.0840695,-0.0230016149580478,0.5034416317939758,0.0709408447146415,1.0,0.0,0.0,0.0
1774190842,C,1774190810,35,1774190842.0840974,-0.0227680895477533,0.5035839080810547,0.0701696127653122,1.0,0.0,0.0,0.0
1774190842,C,1774190810,36,1774190842.084125,-0.0221661701798439,0.5039005875587463,0.0684293806552887,1.0,0.0,0.0,0.0
1774190842,C,1774190810,37,1774190842.084154,-0.02140823751688,0.5042406320571899,0.066533975303173,1.0,0.0,0.0,0.0
1774190842,C,1774190810,38,1774190842.0841827,-0.0209740381687879,0.5044039487838745,0.0656288415193557,1.0,0.0,0.0,0.0
1774190842,C,1774190810,39,1774190842.08421,-0.0199790354818105,0.5046902894973755,0.0640832185745239,1.0,0.0,0.0,0.0
1774190842,C,1774190810,40,1774190842.084239,-0.0188449509441852,0.5049252510070801,0.062867060303688,1.0,0.0,0.0,0.0
1774190842,C,1774190810,41,1774190842.0842688,-0.0161461066454648,0.5052488446235657,0.06142108887434,1.0,0.0,0.0,0.0
1774190842,C,1774190810,42,1774190842.084299,-0.0153975849971175,0.5053039789199829,0.0612334199249744,1.0,0.0,0.0,0.0
1774190842,C,1774190810,43,1774190842.084329,-0.0133014898747205,0.5053898692131042,0.0611325502395629,1.0,0.0,0.0,0.0
1774190842,C,1774190810,44,1774190842.084359,-0.0115829966962337,0.5053590536117554,0.0617145039141178,1.0,0.0,0.0,0.0
1774190842,C,1774190810,45,1774190842.0843878,-0.0106946751475334,0.5053044557571411,0.062253501266241,1.0,0.0,0.0,0.0
1774190842,C,1774190810,46,1774190842.0844178,-0.0100920256227254,0.5052303075790405,0.0628639012575149,1.0,0.0,0.0,0.0
1774190842,C,1774190810,47,1774190842.084448,-0.0094455135986208,0.5050239562988281,0.064362846314907,1.0,0.0,0.0,0.0
1774190842,C,1774190810,48,1774190842.0844784,-0.009377303533256,0.5049709677696228,0.0647264793515205,1.0,0.0,0.0,0.0
1774190842,C,1774190810,49,1774190842.084507,-0.0092735141515731,0.5048727989196777,0.0653937235474586,1.0,0.0,0.0,0.0
1774190842,C,1774190810,50,1774190842.0845366,-0.0092298686504364,0.5048292279243469,0.0656867176294326,1.0,0.0,0.0,0.0
1774190842,C,1774190810,51,1774190842.0845678,-0.0091501716524362,0.5047614574432373,0.0661386176943779,1.0,0.0,0.0,0.0
1774190842,C,1774190810,52,1774190842.0845976,-0.0091714616864919,0.5047181844711304,0.0664101168513298,1.0,0.0,0.0,0.0
1774190842,C,1774190810,53,1774190842.0846305,-0.0093143824487924,0.5046942234039307,0.0665467977523803,1.0,0.0,0.0,0.0
1774190845,C,1774190811,0,1774190845.664427,-0.0087343687191605,0.500568687915802,0.0890890583395958,1.0,0.0,0.0,0.0
1774190845,C,1774190811,1,1774190845.6644475,-0.0090994741767644,0.5004719495773315,0.089505560696125,1.0,0.0,0.0,0.0
1774190845,C,1774190811,2,1774190845.6644588,-0.0095846923068165,0.5003454685211182,0.0900420546531677,1.0,0.0,0.0,0.0
1774190845,C,1774190811,3,1774190845.664469,-0.0098532661795616,0.5002737045288086,0.0903446897864341,1.0,0.0,0.0,0.0
1774190845,C,1774190811,4,1774190845.6644788,-0.0104989940300583,0.5001166462898254,0.0909982249140739,1.0,0.0,0.0,0.0
1774190845,C,1774190811,5,1774190845.664488,-0.0108797708526253,0.500032365322113,0.0913422256708145,1.0,0.0,0.0,0.0
1774190845,C,1774190811,6,1774190845.6644974,-0.0121759753674268,0.4997817873954773,0.0923248380422592,1.0,0.0,0.0,0.0
1774190845,C,1774190811,7,1774190845.664507,-0.0130920065566897,0.4996498525142669,0.0927956402301788,1.0,0.0,0.0,0.0
1774190845,C,1774190811,8,1774190845.6645164,-0.0139797376468777,0.4995562732219696,0.0930876433849334,1.0,0.0,0.0,0.0
1774190845,C,1774190811,9,1774190845.664526,-0.0148361045867204,0.4994916021823883,0.0932453647255897,1.0,0.0,0.0,0.0
1774190845,C,1774190811,10,1774190845.6645372,-0.0156779419630765,0.4994492828845978,0.0932956635951995,1.0,0.0,0.0,0.0
1774190845,C,1774190811,11,1774190845.6645465,-0.0165100507438182,0.4994400441646576,0.0931929722428321,1.0,0.0,0.0,0.0
1774190845,C,1774190811,12,1774190845.664556,-0.0169191733002662,0.4994505941867828,0.0930725634098053,1.0,0.0,0.0,0.0
1774190845,C,1774190811,13,1774190845.664565,-0.0173215046525001,0.4994706809520721,0.0929086953401565,1.0,0.0,0.0,0.0
1774190845,C,1774190811,14,1774190845.6645749,-0.0180948227643966,0.4995428919792175,0.0924348011612892,1.0,0.0,0.0,0.0
1774190845,C,1774190811,15,1774190845.6645842,-0.0188542827963829,0.499661386013031,0.0917415767908096,1.0,0.0,0.0,0.0
1774190845,C,1774190811,16,1774190845.6645937,-0.0192440971732139,0.49973925948143,0.0913023501634597,1.0,0.0,0.0,0.0
1774190845,C,1774190811,17,1774190845.6646037,-0.020030990242958,0.4999291598796844,0.0902521535754203,1.0,0.0,0.0,0.0
1774190845,C,1774190811,18,1774190845.6646128,-0.0207586735486984,0.5001687407493591,0.0889608189463615,1.0,0.0,0.0,0.0
1774190845,C,1774190811,19,1774190845.664622,-0.0214285906404256,0.5004526376724243,0.0874465182423591,1.0,0.0,0.0,0.0
1774190845,C,1774190811,20,1774190845.6646314,-0.0217039212584495,0.5006201863288879,0.0865704640746116,1.0,0.0,0.0,0.0
1774190845,C,1774190811,21,1774190845.6646404,-0.022036887705326,0.500956118106842,0.0848407819867134,1.0,0.0,0.0,0.0
1774190845,C,1774190811,22,1774190845.6646495,-0.0220241397619247,0.5012679696083069,0.0832853019237518,1.0,0.0,0.0,0.0
1774190845,C,1774190811,23,1774190845.6646588,-0.0217568818479776,0.5015580058097839,0.0818764343857765,1.0,0.0,0.0,0.0
1774190845,C,1774190811,24,1774190845.6646678,-0.0214128587394952,0.5018347501754761,0.0805293247103691,1.0,0.0,0.0,0.0
1774190845,C,1774190811,25,1774190845.6646774,-0.0209469813853502,0.5021039247512817,0.0792341902852058,1.0,0.0,0.0,0.0
1774190845,C,1774190811,26,1774190845.664687,-0.0202846676111221,0.5023898482322693,0.0778783634305,1.0,0.0,0.0,0.0
1774190845,C,1774190811,27,1774190845.6646955,-0.0196329988539218,0.5026829838752747,0.0764467567205429,1.0,0.0,0.0,0.0
1774190845,C,1774190811,28,1774190845.664705,-0.0190978292375803,0.5029770135879517,0.0749403536319732,1.0,0.0,0.0,0.0
1774190845,C,1774190811,29,1774190845.664714,-0.0188469011336565,0.5031223297119141,0.0741798654198646,1.0,0.0,0.0,0.0
1774190845,C,1774190811,30,1774190845.664723,-0.0182285979390144,0.5033996105194092,0.0727460235357284,1.0,0.0,0.0,0.0
1774190845,C,1774190811,31,1774190845.6647325,-0.017408775165677,0.5036271810531616,0.0716199353337287,1.0,0.0,0.0,0.0
1774190845,C,1774190811,32,1774190845.6647415,-0.0164355617016553,0.503798246383667,0.0708338245749473,1.0,0.0,0.0,0.0
1774190845,C,1774190811,33,1774190845.6647515,-0.0154128894209861,0.5039196610450745,0.0703367665410041,1.0,0.0,0.0,0.0
1774190845,C,1774190811,34,1774190845.6647625,-0.0143932094797492,0.5040091872215271,0.0700150355696678,1.0,0.0,0.0,0.0
1774190845,C,1774190811,35,1774190845.6647725,-0.0138834323734045,0.5040414929389954,0.0699221342802047,1.0,0.0,0.0,0.0
